State;n1;n2;n3;n4;n5;n6;nSumm;    s1;    s2;    s3;    s4;    s5;    s6;
 2047; 0; 0; 0; 0; 2; 1;    3;  1.50;  2.74;  0.50;  2.74;  2.50;  0.30;
 2048; 1; 0; 0; 0; 2; 1;    4;  2.20;  3.64;  0.70;  3.64;  3.20;  0.40;
 2052; 0; 1; 0; 0; 2; 1;    4;  2.40;  3.34;  0.80;  3.34;  3.82;  0.40;
 2068; 0; 0; 1; 0; 2; 1;    4;  1.70;  3.04;  0.70;  3.04;  2.70;  0.40;
 2132; 0; 0; 0; 1; 2; 1;    4;  2.40;  3.34;  0.80;  3.14;  3.82;  0.40;
 2388; 0; 0; 0; 0; 3; 1;    4;  2.20;  4.06;  0.70;  4.06;  3.70;  0.40;
 2730; 0; 0; 0; 0; 0; 2;    2;  0.20;  0.20;  0.20;  0.20;  0.20;  0.20;
 2731; 1; 0; 0; 0; 0; 2;    3;  0.90;  1.10;  0.40;  1.10;  0.90;  0.30;
 2732; 2; 0; 0; 0; 0; 2;    4;  1.60;  2.00;  0.60;  2.00;  1.60;  0.40;
 2735; 0; 1; 0; 0; 0; 2;    3;  1.10;  0.80;  0.50;  0.80;  1.52;  0.30;
 2736; 1; 1; 0; 0; 0; 2;    4;  1.80;  1.70;  0.70;  1.70;  2.22;  0.40;
 2740; 0; 2; 0; 0; 0; 2;    4;  2.00;  1.40;  0.80;  1.40;  2.84;  0.40;
 2751; 0; 0; 1; 0; 0; 2;    3;  0.40;  0.50;  0.40;  0.50;  0.40;  0.30;
 2752; 1; 0; 1; 0; 0; 2;    4;  1.10;  1.40;  0.60;  1.40;  1.10;  0.40;
 2756; 0; 1; 1; 0; 0; 2;    4;  1.30;  1.10;  0.70;  1.10;  1.72;  0.40;
 2772; 0; 0; 2; 0; 0; 2;    4;  0.60;  0.80;  0.60;  0.80;  0.60;  0.40;
 2815; 0; 0; 0; 1; 0; 2;    3;  1.10;  0.80;  0.50;  0.60;  1.52;  0.30;
 2816; 1; 0; 0; 1; 0; 2;    4;  1.80;  1.70;  0.70;  1.50;  2.22;  0.40;
 2820; 0; 1; 0; 1; 0; 2;    4;  2.00;  1.40;  0.80;  1.20;  2.84;  0.40;
 2836; 0; 0; 1; 1; 0; 2;    4;  1.30;  1.10;  0.70;  0.90;  1.72;  0.40;
 2900; 0; 0; 0; 2; 0; 2;    4;  2.00;  1.40;  0.80;  1.00;  2.84;  0.40;
 3071; 0; 0; 0; 0; 1; 2;    3;  0.90;  1.52;  0.40;  1.52;  1.40;  0.30;
 3072; 1; 0; 0; 0; 1; 2;    4;  1.60;  2.42;  0.60;  2.42;  2.10;  0.40;
 3076; 0; 1; 0; 0; 1; 2;    4;  1.80;  2.12;  0.70;  2.12;  2.72;  0.40;
 3092; 0; 0; 1; 0; 1; 2;    4;  1.10;  1.82;  0.60;  1.82;  1.60;  0.40;
 3156; 0; 0; 0; 1; 1; 2;    4;  1.80;  2.12;  0.70;  1.92;  2.72;  0.40;
 3412; 0; 0; 0; 0; 2; 2;    4;  1.60;  2.84;  0.60;  2.84;  2.60;  0.40;
 4095; 0; 0; 0; 0; 0; 3;    3;  0.30;  0.30;  0.30;  0.30;  0.30;  0.30;
 4096; 1; 0; 0; 0; 0; 3;    4;  1.00;  1.20;  0.50;  1.20;  1.00;  0.40;
 4100; 0; 1; 0; 0; 0; 3;    4;  1.20;  0.90;  0.60;  0.90;  1.62;  0.40;
 4116; 0; 0; 1; 0; 0; 3;    4;  0.50;  0.60;  0.50;  0.60;  0.50;  0.40;
 4180; 0; 0; 0; 1; 0; 3;    4;  1.20;  0.90;  0.60;  0.70;  1.62;  0.40;
 4436; 0; 0; 0; 0; 1; 3;    4;  1.00;  1.62;  0.50;  1.62;  1.50;  0.40;
 5460; 0; 0; 0; 0; 0; 4;    4;  0.40;  0.40;  0.40;  0.40;  0.40;  0.40;
